Date,P/E,P/B,Div Yield %,Close,Previous Returns,Returns
08-Sep-21,26.59,4.39,1.07,17353.5,-0.09,-0.05
09-Sep-21,26.61,4.39,1.07,17369.25,-0.05,0.09
13-Sep-21,26.59,4.39,1.07,17355.3,0.09,-0.08
14-Sep-21,26.63,4.39,1.07,17380,-0.08,0.14
15-Sep-21,26.84,4.43,1.06,17519.45,0.14,0.8
16-Sep-21,26.99,4.45,1.12,17629.5,0.8,0.63
17-Sep-21,26.93,4.44,1.13,17585.15,0.63,-0.25
20-Sep-21,26.64,4.4,1.14,17396.9,-0.25,-1.08
21-Sep-21,26.89,4.44,1.13,17562,-1.08,0.94
22-Sep-21,26.87,4.43,1.13,17546.65,0.94,-0.09
23-Sep-21,27.29,4.5,1.11,17822.95,-0.09,1.56
24-Sep-21,27.34,4.47,1.11,17853.2,1.56,0.17
27-Sep-21,27.33,4.47,1.15,17855.1,0.17,0.01
28-Sep-21,27.16,4.44,1.16,17748.6,0.01,-0.6
29-Sep-21,27.11,4.43,1.16,17711.3,-0.6,-0.21
30-Sep-21,26.98,4.41,1.17,17618.15,-0.21,-0.53
01-Oct-21,26.84,4.39,1.17,17532.05,-0.53,-0.49
04-Oct-21,27.09,4.43,1.16,17691.25,-0.49,0.9
05-Oct-21,27.29,4.46,1.16,17822.3,0.9,0.74
06-Oct-21,27.02,4.42,1.17,17646,0.74,-0.99
07-Oct-21,27.24,4.45,1.16,17790.35,-0.99,0.81
08-Oct-21,27.4,4.48,1.15,17895.2,0.81,0.59
11-Oct-21,27.48,4.49,1.15,17945.95,0.59,0.28
12-Oct-21,27.49,4.51,1.14,17991.95,0.28,0.26
13-Oct-21,27.75,4.55,1.13,18161.75,0.26,0.94
14-Oct-21,28.02,4.59,1.12,18338.55,0.94,0.97
18-Oct-21,28.17,4.63,1.11,18477.05,0.97,0.75
19-Oct-21,27.97,4.61,1.07,18418.75,0.75,-0.32
20-Oct-21,27.72,4.57,1.08,18266.6,-0.32,-0.83
21-Oct-21,27.58,4.55,1.1,18178.1,-0.83,-0.49
22-Oct-21,27.48,4.54,1.1,18114.9,-0.49,-0.35
25-Oct-21,27.29,4.54,1.04,18125.4,-0.35,0.06
26-Oct-21,27.16,4.57,1.12,18268.4,0.06,0.79
27-Oct-21,27.06,4.56,1.13,18210.95,0.79,-0.31
28-Oct-21,26.39,4.47,1.13,17857.25,-0.31,-1.96
29-Oct-21,25.71,4.43,1.13,17671.65,-1.96,-1.04
01-Nov-21,26.07,4.49,1.11,17929.65,-1.04,1.45
02-Nov-21,25.95,4.48,1.13,17888.95,1.45,-0.23
03-Nov-21,25.98,4.46,1.13,17829.2,-0.23,-0.33
04-Nov-21,26.11,4.49,1.1,17916.8,-0.33,0.49
08-Nov-21,26.25,4.52,1.09,18068.55,0.49,0.84
09-Nov-21,26.06,4.52,1.09,18044.25,0.84,-0.13
10-Nov-21,26.03,4.51,1.09,18017.2,-0.13,-0.15
11-Nov-21,25.65,4.48,1.12,17873.6,-0.15,-0.8
12-Nov-21,25.98,4.53,1.11,18102.75,-0.8,1.27
15-Nov-21,26,4.53,1.11,18109.45,1.27,0.04
16-Nov-21,24.83,4.51,1.11,17999.2,0.04,-0.61
17-Nov-21,24.69,4.48,1.12,17898.65,-0.61,-0.56
18-Nov-21,24.51,4.45,1.13,17764.8,-0.56,-0.75
22-Nov-21,24.03,4.36,1.16,17416.55,-0.75,-1.98
23-Nov-21,24.15,4.38,1.15,17503.35,-1.98,0.5
24-Nov-21,24.03,4.36,1.16,17415.05,0.5,-0.51
25-Nov-21,24.19,4.39,1.15,17536.25,-0.51,0.69
26-Nov-21,23.49,4.26,1.18,17026.45,0.69,-2.95
29-Nov-21,23.53,4.27,1.18,17053.95,-2.95,0.16
30-Nov-21,23.43,4.25,1.19,16983.2,0.16,-0.42
01-Dec-21,23.68,4.3,1.17,17166.9,-0.42,1.08
02-Dec-21,24.01,4.36,1.16,17401.65,1.08,1.36
03-Dec-21,23.73,4.31,1.17,17196.7,1.36,-1.18
06-Dec-21,23.33,4.23,1.22,16912.25,-1.18,-1.67
07-Dec-21,23.69,4.3,1.2,17176.7,-1.67,1.55
08-Dec-21,24.1,4.37,1.18,17469.75,1.55,1.69
09-Dec-21,24.16,4.39,1.17,17516.85,1.69,0.27
10-Dec-21,24.15,4.38,1.18,17511.3,0.27,-0.03
13-Dec-21,23.96,4.35,1.18,17368.25,-0.03,-0.82
14-Dec-21,23.9,4.34,1.19,17324.9,-0.82,-0.25
15-Dec-21,23.75,4.31,1.2,17221.4,-0.25,-0.6
16-Dec-21,23.79,4.32,1.19,17248.4,-0.6,0.16
17-Dec-21,23.43,4.25,1.19,16985.2,0.16,-1.54
20-Dec-21,22.92,4.16,1.22,16614.2,-1.54,-2.21
21-Dec-21,23.13,4.2,1.2,16770.85,-2.21,0.94
